118;Myanmar;Republic of the Union of Myanmar;Naypyidaw
119;Namibia;Republic of Namibia;Windhoek
120;Nauru;Republic of Nauru;de jure
121;Nepal;Federal Democratic Republic of Nepal;Kathmandu
122;Netherlands;Netherlands;Amsterdam
123;New Zealand;New Zealand;Wellington
124;Nicaragua;Republic of Nicaragua;Managua
125;Niger;Republic of the Niger;Niamey
126;Nigeria;Federal Republic of Nigeria;Abuja
127;North Macedonia;Republic of North Macedonia;Skopje
128;Norway;Kingdom of Norway;Oslo
129;Oman;Sultanate of Oman;Muscat
130;Pakistan;Islamic Republic of Pakistan;Islamabad
131;Palau;Republic of Palau;Ngerulmud
132;Panama;Republic of Panama;Panama City
133;Papua New Guinea;Independent State of Papua New Guinea;Port Moresby
134;Paraguay;Republic of Paraguay;Asunción
135;Peru;Republic of Peru;Lima
136;Philippines;Republic of the Philippines;Manila
137;Poland;Republic of Poland;Warsaw
138;Portugal;Portuguese Republic;Lisbon
139;Qatar;State of Qatar;Doha
140;Republic of Korea;Republic of Korea;Seoul
141;Republic of Moldova;Republic of Moldova;Chișinău
142;Romania;Romania;Bucharest
143;Russian Federation;Russian Federation;Moscow
144;Rwanda;Republic of Rwanda;Kigali
145;Saint Kitts and Nevis;Federation of Saint Christopher and Nevis;Basseterre
146;Saint Lucia;Saint Lucia;Castries
147;Saint Vincent and the Grenadines;Saint Vincent and the Grenadines;Kingstown
148;Samoa;Independent State of Samoa;Apia
149;San Marino;Republic of San Marino;San Marino
150;Sao Tome and Principe;Democratic Republic of São Tomé and Príncipe;São Tomé
151;Saudi Arabia;Kingdom of Saudi Arabia;Riyadh
152;Senegal;Republic of Senegal;Dakar
153;Serbia;Republic of Serbia;Belgrade
154;Seychelles;Republic of Seychelles;Victoria
155;Sierra Leone;Republic of Sierra Leone;Freetown
156;Singapore;Republic of Singapore;Singapore
157;Slovakia;Slovak Republic;Bratislava
158;Slovenia;Republic of Slovenia;Ljubljana
159;Solomon Islands;Solomon Islands;Honiara
160;Somalia;Federal Republic of Somalia;Mogadishu
161;South Africa;Republic of South Africa;Bloemfontein (judicial)
162;South Sudan;Republic of South Sudan;Juba
163;Spain;Kingdom of Spain;Madrid
164;Sri Lanka;Democratic Socialist Republic of Sri Lanka;Colombo (executive and judicial)
165;Sudan;Republic of the Sudan;Khartoum
166;Suriname;Republic of Suriname;Paramaribo
167;Sweden;Kingdom of Sweden;Stockholm
168;Switzerland;Swiss Confederation;Bern (de facto)
169;Syrian Arab Republic;Syrian Arab Republic;Damascus
170;Tajikistan;Republic of Tajikistan;Dushanbe
171;Thailand;Kingdom of Thailand;Bangkok
172;Timor-Leste;Democratic Republic of Timor-Leste;Dili
173;Togo;Togolese Republic;Lomé
174;Tonga;Kingdom of Tonga;Nukuʻalofa
175;Trinidad and Tobago;Republic of Trinidad and Tobago;Port of Spain
176;Tunisia;Republic of Tunisia;Tunis
177;Türkiye;Republic of Türkiye;Ankara
178;Turkmenistan;Turkmenistan;Ashgabat
179;Tuvalu;Tuvalu;Funafuti
180;Uganda;Republic of Uganda;Kampala
181;Ukraine;Ukraine;Kyiv
182;United Arab Emirates;United Arab Emirates;Abu Dhabi
